tokens,relationtype,label,upperclass_1,upperclass_2
rebellije; rebelleerende; rebellie,isOfType,Uprising,ViolentContest,SocialInteraction
invasies; invasie; invadeeren; invaderen,isOfType,Invasion,Attacking,ViolentContest
opstand; opstant,isOfType,Uprising,ViolentContest,SocialInteraction
rebellen; rebellige; rebelle,evokes,Uprising,ViolentContest,SocialInteraction
verwoesting; verwoesten; verwoestingen; verwoestinge,isOfType,Destroying,InternalChange,DynamicEvent
vernieling; vernielen; vernielinge; vernielt; vernielde; vernield,isOfType,Damaging,ScalarChange,InternalChange
straffinge,evokes,Punishing,SocialInteraction,DynamicEvent
lijfstraffe; kastijdinge; kastijdingen,isOfType,Punishing,SocialInteraction,DynamicEvent
lijfstraffe; kastijdinge; kastijdingen,isOfType,Attacking,ViolentContest,SocialInteraction
revolte; revolteeren,isOfType,Uprising,ViolentContest,SocialInteraction
punitite; gepunieert,isOfType,Punishing,SocialInteraction,DynamicEvent
uijtgezeijlt; uijtgezeijld; uitzeilen; uijtgeseijld; uijtseijlen,isOfType,Leaving,Translocation,DynamicEvent
trouwloosheijd; afvallige; ongehoorsaemheit; verraderijen; trouwlose; verdeeltheden,evokes,Unrest,StaticEvent,
scheurbuijk; scheurbuik,evokes,FallingIll,ScalarChange,InternalChange
koorts; coorts,evokes,FallingIll,ScalarChange,InternalChange
siekten; ziekten; ziektens; siektens,evokes,FallingIll,ScalarChange,InternalChange
siek; ziek,isOfType,FallingIll,ScalarChange,InternalChange
zinken; sinken; sincken; zincken; gesonken; gesoncken; gezonken; gezoncken; sinckende; sinkende; zinkende; zinckende,isOfType,Sinking,DynamicEvent,
uijtgeplundert; uitplunderen; uijtplunderen; uijtgeplundert; plonderen; geplondert; uijtgeplondert,isOfType,Getting,ChangeOfPossession,DynamicEvent
uijtgeplundert; uitplunderen; uijtplunderen; uijtgeplundert; plonderen; geplondert; uijtgeplondert,isOfType,Destroying,InternalChange,DynamicEvent
verdrijving; verdrijven; verjagen,isOfType,ViolentContest,,
doodslag,evokes,Killing,ViolentContest,SocialInteraction
schipbreuk,isOfType,Sinking,DynamicEvent,
plunderen; plundert; plunderende,isOfType,Getting,ChangeOfPossession,DynamicEvent
plunderen; plundert; plunderende,evokes,ViolentContest,,
roven; rooven; rovage,isOfType,Getting,ChangeOfPossession,DynamicEvent
rover; roofster,evokes,Getting,ChangeOfPossession,DynamicEvent
aanplanting; aanplantinge; beplanting; beplantinge; planting; plantinge; aanqueking; aenplanting; aenplantinge; aanqueek; aangeplante; aenplanten; aanplanten; aankweeken,evokes,Production,DynamicEvent,DynamicEvent
cultivering; cultiveering; cultiveeren; cultiveren; cultiveerende; cultiverend; cultiveert; cultiveerde,isOfType,Production,DynamicEvent,DynamicEvent
plantagie; plantagien; plantagies,evokes,Production,DynamicEvent,DynamicEvent
attacqueeren; attacqueren,isOfType,Attacking,ViolentContest,SocialInteraction
vermeesteren; overmeesteren,isOfType,TakingUnderControl,SocialInteraction,DynamicEvent
vermeesteren; overmeesteren,isOfType,ViolentContest,SocialInteraction,DynamicEvent
oproer,evokes,Unrest,StaticEvent,
verdelging; verdelginge; verdelgen; verdelgende; verdelgt; verdelgd; verdelgde,isOfType,Destroying,InternalChange,DynamicEvent
belegeren; belegerde,isOfType,TakingUnderControl,SocialInteraction,DynamicEvent
belegeren; belegerde,isOfType,Attacking,ViolentContest,SocialInteraction
banissement; bannissement,evokes,ForceToAct,SocialInteraction,DynamicEvent
geeselen; geeseling; geesseling; gegeestelt; gegeselt; gegeeselt; gegeeseld; geeselde; gegeesselt,isOfType,Attacking,ViolentContest,SocialInteraction
geeselaar,evokes,Attacking,ViolentContest,SocialInteraction
brantmercken; brandmercken; brantmerken; brandmerken,isOfType,Attacking,ViolentContest,SocialInteraction
mulcteeren; gemulckteert,isOfType,Punishing,SocialInteraction,DynamicEvent
brandmerk; brantmerk; brandtmerck; brandmerck; brantmerck; gebrantmerckt; gebrandmerckt; gebrandmerkt; gebrantmerckt,evokes,Attacking,ViolentContest,SocialInteraction
verbannen,evokes,ForceToAct,SocialInteraction,DynamicEvent
confineeren; geconfineert; geconfineerd; geconfineerde,evokes,ForceToAct,SocialInteraction,DynamicEvent
confineeren,isOfType,TakingUnderControl,SocialInteraction,DynamicEvent
geconfineert; geconfineerd; geconfineerde,evokes,TakingUnderControl,SocialInteraction,DynamicEvent
doodgeslagen,evokes,Killing,ViolentContest,SocialInteraction
arriveren; arriveeren; aantelanden; aanlanden,isOfType,Arriving,Translocation,DynamicEvent
bondgenoodschap; bondgenootschap; bontgenootschap; bontgenoodschap,isOfType,Collaboration,StaticEvent,
bondgenoot; bondgenood; bontgenoot; bontgenood,evokes,Collaboration,StaticEvent,
gedood; gedoot,evokes,Killing,ViolentContest,SocialInteraction
zeijlt; zeijld; zeilen; seijld; seijlen; gezeilt; gezeijlt,evokes,Translocation,DynamicEvent,
ordonnantie; d'ordonnantie,evokes,Communication,SocialInteraction,DynamicEvent
vijanden; vijand; vijant; vyand; vijant,evokes,BeingInConflict,StaticEvent,
komst,evokes,Arriving,Translocation,DynamicEvent
slavenhandel,isOfType,Trade,ChangeOfPossession,DynamicEvent
slavenhandel,evokes,ForceToAct,SocialInteraction,DynamicEvent
vegten; vechten,evokes,Attacking,ViolentContest,SocialInteraction
betalen; betaalen,isOfType,FinancialTransaction,ChangeOfPossession,DynamicEvent
tol,evokes,FinancialTransaction,ChangeOfPossession,DynamicEvent
conqueste; conqueeste ,evokes,TakingUnderControl,SocialInteraction,DynamicEvent
repatrieren; gerepatrieerd; gerepatrieerde,evokes ,Translocation,DynamicEvent,
